"","Laneway_Name","Laneway_Climate"
"1","Cl1639","Shaded-Sheltered"
"2","Ridgway Place","Shaded-Sheltered"
"3","Higson Lane","Shaded-Sheltered"
"4","Pink Alley","Shaded-Sheltered"
"5","Coverlid Place","Shaded-Sheltered"
"6","Cohen Place","Shaded-Sheltered"
"7","Celestial Avenue","Shaded-Sheltered"
"8","Royal Lane","Shaded-Sheltered"
"9","Dame Edna Place","Shaded-Sheltered"
"10","Louden Place","Shaded-Sheltered"
"11","Sniders Lane","Shaded-Sheltered"
"12","Drewery Place","Shaded-Sheltered"
"13","Thomson Street","Shaded-Sheltered"
"14",NA,"Shaded-Sheltered"
"15","Warburton Alley","Shaded-Sheltered"
"16","Somerset Place","Shaded-Sheltered"
"17","Racing Club Lane","Shaded-Sheltered"
"18","Gills Alley","Shaded-Sheltered"
"19","Ph8012","Shaded-Sheltered"
"20","St James Lane","Shaded-Sheltered"
"21","Geddes Lane","Shaded-Sheltered"
"22","Cl0481","Shaded-Sheltered"
"23","Cleve Lane","Sunny-Exposed"
"24","Cl1266","Shaded-Sheltered"
"25","Goldie Place","Shaded-Sheltered"
"26","Pl5235","Shaded-Sheltered"
"27","Casselden Place","Shaded-Exposed"
"28","Chapter House Lane","Shaded-Sheltered"
"29","Ridgway Place","Shaded-Sheltered"
"30","Pl5221","Shaded-Exposed"
