"","Laneway_Name","Laneway_Climate","Forest_Potential"
"1","Cl1639","Shaded-Sheltered","High"
"2","Ridgway Place","Shaded-Sheltered","High"
"3","Higson Lane","Shaded-Sheltered","High"
"4","Pink Alley","Shaded-Sheltered","High"
"5","Coverlid Place","Shaded-Sheltered","High"
"6","Cohen Place","Shaded-Sheltered","High"
"7","Celestial Avenue","Shaded-Sheltered","High"
"8","Royal Lane","Shaded-Sheltered","High"
"9","Dame Edna Place","Shaded-Sheltered","High"
"10","Louden Place","Shaded-Sheltered","High"
"11","Sniders Lane","Shaded-Sheltered","High"
"12","Drewery Place","Shaded-Sheltered","High"
"13","Thomson Street","Shaded-Sheltered","High"
"14",NA,"Shaded-Sheltered","High"
"15","Warburton Alley","Shaded-Sheltered","High"
"16","Somerset Place","Shaded-Sheltered","High"
"17","Racing Club Lane","Shaded-Sheltered","High"
"18","Gills Alley","Shaded-Sheltered","High"
"19","Ph8012","Shaded-Sheltered","High"
"20","St James Lane","Shaded-Sheltered","High"
"21","Geddes Lane","Shaded-Sheltered","High"
"22","Cl0481","Shaded-Sheltered","High"
"23","Cleve Lane","Sunny-Exposed","High"
"24","Cl1266","Shaded-Sheltered","High"
"25","Goldie Place","Shaded-Sheltered","High"
"26","Pl5235","Shaded-Sheltered","High"
"27","Casselden Place","Shaded-Exposed","High"
"28","Chapter House Lane","Shaded-Sheltered","High"
"29","Ridgway Place","Shaded-Sheltered","High"
"30","Pl5221","Shaded-Exposed","High"
