"","Laneway_Name","Laneway_Climate","Vertical_Garden_Potential"
"1","Bourke Place","Shaded-Sheltered","High"
"2","Little Bourke Place","Shaded-Sheltered","High"
"3","Turnbull Alley","Shaded-Sheltered","High"
"4","Liverpool Street","Shaded-Sheltered","High"
"5","Windsor Place","Shaded-Sheltered","High"
"6","Throssell Lane","Shaded-Sheltered","High"
"7","Duckboard Place","Shaded-Sheltered","High"
"8","Beaney Lane","Shaded-Sheltered","High"
"9","Strachan Lane","Shaded-Sheltered","High"
"10","Melbourne Place","Shaded-Sheltered","High"
"11","Market Lane","Shaded-Sheltered","High"
"12","Paynes Place","Shaded-Sheltered","High"
"13","Brien Lane","Shaded-Sheltered","High"
"14","Corrs Lane","Shaded-Sheltered","High"
"15","Smythe Lane","Shaded-Sheltered","High"
"16","Hayward Lane","Shaded-Sheltered","High"
"17","Jones Lane","Shaded-Sheltered","High"
"18","Waratah Place","Shaded-Exposed","High"
"19","Heffernan Lane","Shaded-Exposed","High"
"20","Globe Alley","Shaded-Sheltered","High"
"21","Bullens Lane","Shaded-Sheltered","High"
"22","Dean Alley","Shaded-Sheltered","High"
"23","Hughs Alley","Shaded-Sheltered","High"
"24","La Trobe Place","Shaded-Sheltered","High"
"25","Russell Place","Shaded-Sheltered","High"
"26","Watson Place","Shaded-Sheltered","High"
"27","Degraves Street","Shaded-Sheltered","High"
"28","Lingham Lane","Shaded-Sheltered","High"
"29","Rothsay Lane","Shaded-Sheltered","High"
"30","Sugden Place","Shaded-Sheltered","High"
"31","Masons Lane","Shaded-Sheltered","High"
"32","Albion Alley","Shaded-Sheltered","High"
"33","Drewery Lane","Shaded-Sheltered","High"
"34","Drewery Alley","Shaded-Sheltered","High"
"35","Lonsdale Lane","Shaded-Sheltered","High"
"36","Barry Lane","Shaded-Sheltered","High"
"37","Crown Place","Shaded-Sheltered","High"
"38","Rankins Lane","Shaded-Sheltered","High"
"39","Moylans Lane","Shaded-Sheltered","High"
"40","Wicklow Lane","Shaded-Sheltered","High"
"41","Cl1611","Shaded-Sheltered","High"
"42","Griffin Lane","Sunny-Exposed","High"
"43","Pl5160","Shaded-Sheltered","High"
